"ime","prezime","broj","pozicija","datum_rodenja","mjesto_rodenja","visina","broj_nastupa","broj_golova","klubovi"
"Arijan","Ademi",5,"vezni","1991-05-28T22:00:00.000Z","Šibenik",184,413,47,"Šibenik (Šibenik), Lokomotiva (Zagreb)"
"Raúl","Torrente",4,"branič","2001-09-10T22:00:00.000Z","Murcia",193,8,2,"Granada FC (Granada)"
"Bruno","Petković",9,"napadač","1994-09-15T22:00:00.000Z","Metković",193,265,83,"Zagreb (Zagreb), Neretva (Neretva), HAŠK (Zagreb), Hrvatski dragovoljac (Zagreb), Catania (Catania), Varese (Varese), Reggiana (Reggio Emilia), Virtus Entella (Chiavari), Trapani (Trapani), Bologna (Bologna), Verona (Verona)"
"Niko","Galešić",15,"branič","2001-03-25T22:00:00.000Z","Berlin",182,1,0,"- (-)"
"Martin","Baturina",10,"vezni","2003-02-15T23:00:00.000Z","Split",172,131,18,"- (-)"
"Dario","Špikić",77,"napadač","1999-03-21T23:00:00.000Z","Zagreb",183,132,18,"Hajduk (Split), Gorinca (Velika Gorica)"
"Sandro","Kulenović",17,"napadač","1999-12-03T23:00:00.000Z","Zagreb",191,67,20,"Legia Warsaw (Warsaw), Rijeka (Rijeka), Juventus U19 (Turin)"
"Kevin","Teophile-Catherine",28,"branič","1989-10-27T23:00:00.000Z","Saint-Brieuc",183,191,4,"Rennes (Rennes), Cardiff City (Cardiff), Saint-Étienne (Saint-Étienne)"
"Ivan","Nevistić",33,"vratar","1998-07-30T22:00:00.000Z","Đakovo",193,48,0,"Rijeka (Rijeka), Varaždin (Varaždin), NŠ Mura (Murska Sobota), Osijek (Osijek)"
"Petar","Sučić",25,"vezni","2003-10-24T22:00:00.000Z","Livno",183,56,3,"- (-)"
"Josip","Mišić",27,"vezni","1994-06-27T22:00:00.000Z","Vinkovci",187,187,6,"Osijek (Osijek), Rijeka (Rijeka), Spezia (La Spezia), Sporting (Lisbon), PAOK (Thessaloniki)"
"Maxime","Bernauer",6,"branič","1998-06-30T22:00:00.000Z","Hennebont",186,33,2,"Rennes (Rennes), Concarneau (Concarneau), Le Mans FC (Le Mans), Paris FC  (Paris)"